"id","start","end","chromosome","probeID","sourceID","IDtype"
"OR4F17",0,0,0,"7896740","ENSG00000177693,ENSG00000186092,ENSG00000176695","ensembl"
"SEPT14",0,0,0,"7911329","ENSG00000274886,ENSG00000280534,ENSG00000267237,ENSG00000203496,ENSG00000244528,ENSG00000260528,ENSG00000228786,ENSG00000226838,ENSG00000238009,ENSG00000230021,ENSG00000237094,ENSG00000231512,ENSG00000220804,ENSG00000248792,ENSG00000260923,ENSG00000226008,ENSG00000251378,ENSG00000281379,ENSG00000251155,ENSG00000254468,ENSG00000250765,ENSG00000253166,ENSG00000250210,ENSG00000255464,ENSG00000149656,ENSG00000217929","ensembl"
"OR4F16",0,0,0,"7896744","ENSG00000284733,ENSG00000224777,ENSG00000266971,ENSG00000230178,ENSG00000176269,ENSG00000220212,ENSG00000217874,ENSG00000284662,ENSG00000257109","ensembl"
"GPAM",0,0,0,"7936322","ENSG00000119927","ensembl"
"LOC100287934",0,0,0,"7909990","ENSG00000185495,ENSG00000237491","ensembl"
"FAM87A",0,0,0,"8148968","ENSG00000182366","ensembl"
"LOC643837",0,0,0,"7896759","ENSG00000228794","ensembl"
"SAMD11",0,0,0,"7896761","ENSG00000187634","ensembl"
"KLHL17",0,0,0,"7896779","ENSG00000187961","ensembl"
"PLEKHN1",0,0,0,"7896798","ENSG00000187583","ensembl"
"ISG15",0,0,0,"7896817","ENSG00000187608","ensembl"
"AGRN",0,0,0,"7896822","ENSG00000188157","ensembl"
"MIR200B",0,0,0,"7896859","ENSG00000207730","ensembl"
"MIR200A",0,0,0,"7896861","ENSG00000207607,ENSG00000207730","ensembl"
"MIR429",0,0,0,"7896863","ENSG00000207730,ENSG00000207607,ENSG00000198976","ensembl"
"TTLL10",0,0,0,"7896865","ENSG00000162571","ensembl"
"B3GALT6",0,0,0,"7896878","ENSG00000176022","ensembl"
"SCNN1D",0,0,0,"7896882","ENSG00000162572","ensembl"
"PUSL1",0,0,0,"7896908","ENSG00000169972","ensembl"
"GLTPD1",0,0,0,"7896917","ENSG00000224051","ensembl"
"TAS1R3",0,0,0,"7896921","ENSG00000169962","ensembl"
"VWA1",0,0,0,"7896929","ENSG00000179403","ensembl"
"ATAD3C",0,0,0,"7896937","ENSG00000215915","ensembl"
"ATAD3A",0,0,0,"7896952","ENSG00000197785","ensembl"
"ATAD3B",0,0,0,"7896961","ENSG00000160072","ensembl"
"LOC100288313",0,0,0,"7896983","ENSG00000215014","ensembl"
"MIB2",0,0,0,"7896985","ENSG00000197530","ensembl"
"MMP23B",0,0,0,"7897006","ENSG00000215914,ENSG00000189409","ensembl"
"CALML6",0,0,0,"7897026","ENSG00000169885","ensembl"
"GABRD",0,0,0,"7897034","ENSG00000187730","ensembl"
"PRKCZ",0,0,0,"7897044","ENSG00000067606","ensembl"
"LOC100128003",0,0,0,"7897066","NA","ensembl"
"SKI",0,0,0,"7897068","ENSG00000157933","ensembl"
"RER1",0,0,0,"7897078","ENSG00000157916","ensembl"
"PLCH2",0,0,0,"7897089","ENSG00000276429,ENSG00000149527","ensembl"
"C1orf93",0,0,0,"7897119","ENSG00000275125,ENSG00000157870","ensembl"
"ACTRT2",0,0,0,"7897128","ENSG00000169717","ensembl"
"PRDM16",0,0,0,"7897132","ENSG00000142611","ensembl"
"ARHGEF16",0,0,0,"7897154","ENSG00000130762","ensembl"
"TPRG1L",0,0,0,"7897172","ENSG00000158109","ensembl"
"TP73",0,0,0,"7897179","ENSG00000078900","ensembl"
"CCDC27",0,0,0,"7897196","ENSG00000162592","ensembl"
"DFFB",0,0,0,"7897210","ENSG00000169598","ensembl"
"AJAP1",0,0,0,"7897227","ENSG00000196581","ensembl"
"KCNAB2",0,0,0,"7897236","ENSG00000069424","ensembl"
"RNF207",0,0,0,"7897263","ENSG00000158286","ensembl"
